np;zagadnienie
5;Przedmiot procesu oraz podstawa jego wszczęcia
17;Niezależność i niezawisłość. Ustrojowe i proceduralne gwarancje niezawisłości
38;Terminy i doręczenia
51;Wyłączenie sędziego. Przesłanki i tryb postępowania. Bezstronność subiektywna i obiektywna
56;Wprowadzanie dowodów do procesu karnego. Wniosek dowodowy
62;Zakazy dowodzenia faktów
65;Udowodnienie i surogaty udowodnienia
66;Pojęcie i rodzaje czynności dowodowych
69;Kontrola i utrwalanie treści rozmów telefonicznych - granice podmiotowe, przedmiotowe i temporalne
77;Zatrzymanie osoby
79;Dyrektywy środków zapobiegawczych
91;Formy postępowania przygotowawczego
99;Umorzenie postępowania przygotowawczego i umorzenie rejestrowe
101;Formalna i merytoryczna kontrola aktu oskarżenia
102;Posiedzenie przygotowawcze (organizacyjne) przed rozprawą główną
105;Jawność rozprawy głównej
106;Udział oskarżonego w rozprawie. Prowadzenie rozprawy pod nieobecność oskarżonego
114;Zarzuty i przyczyny odwoławcze. Pojęcie i rodzaje
128;Postępowanie w sprawie o odszkodowanie i zadośćuczynienie za niesłuszne skazanie, zatrzymanie i tymczasowe aresztowanie
