np;zagadnienie
7;Funkcje procesowe i funkcje przepisów prawa karnego procesowego
20;Zasada swobodnej oceny dowodów oraz zasada bezpośredniości
22;Dysponowanie skargą przez oskarżyciela
31;Formalne negatywne przesłanki procesowe
32;Materialne negatywne przesłanki procesowe
35;Prawidłowość czynności procesowych. Pojęcie i cechy prawidłowej czynności procesowej. Skutki wadliwości czynności procesowych
41;Pojęcie i kategorie uczestników procesu
53;Reprezentanci stron procesowych. Pojęcie i rodzaje
67;Zatrzymanie rzeczy, korespondencji i przesyłek
72;Wrażliwe czynności dowodowe
74;Świadek anonimowy i świadek koronny
89;Zabezpieczenie majątkowe
90;Cele i funkcje postępowania przygotowawczego
113;Ogólne i szczególne wymogi środka odwoławczego
115;Rodzaje rozstrzygnięć organu odwoławczego. Ograniczenia w orzekaniu na niekorzyść oskarżonego
116;Apelacja i postępowanie apelacyjne
118;Zażalenie i postępowanie zażaleniowe
124;Kasacja. Pojęcie, rodzaje i przesłanki oraz tryb postępowania. Rozstrzygnięcia sądu kasacyjnego
127;Postępowanie w sprawie o ułaskawienie
